Site,Good,Bad,Completion,Bad Tags
81 jennings/pad;JENNINGS_WLS_GR,67,30,Needs work,JENNINGS_WLS_GR/AirCompressor_1/SITE_PWR_STATUS(101.3:143);JENNINGS_WLS_GR/Combustor_1/TEMPERATURE(98.27:104);JENNINGS_WLS_GR/HeaterTreater_3/PRESSURE(85.126:44);JENNINGS_WLS_GR/Separator_1/PRESSURE(85.32:90);JENNINGS_WLS_GR/TankOil_1/HAULED_CURRENT_DAY(196.43:0);JENNINGS_WLS_GR/TankOil_1/HAULED_PREVIOUS_DAY(196.45:0);JENNINGS_WLS_GR/TankOil_1/PRESSURE(85.126:114);JENNINGS_WLS_GR/TankOil_1/PRODUCTION_CURRENT_DAY(196.39:0);JENNINGS_WLS_GR/TankOil_1/PRODUCTION_PREVIOUS_DAY(196.41:0);JENNINGS_WLS_GR/TankOil_1/TEMPERATURE(98.3:11);JENNINGS_WLS_GR/TankOil_1/VOLUME_TOTAL(196.32:6);JENNINGS_WLS_GR/TankOil_1/VOLUME_WATER(196.31:6);JENNINGS_WLS_GR/TankOil_2/HAULED_CURRENT_DAY(196.43:1);JENNINGS_WLS_GR/TankOil_2/HAULED_PREVIOUS_DAY(196.45:1);JENNINGS_WLS_GR/TankOil_2/PRESSURE(85.126:115);JENNINGS_WLS_GR/TankOil_2/PRODUCTION_CURRENT_DAY(196.39:1);JENNINGS_WLS_GR/TankOil_2/PRODUCTION_PREVIOUS_DAY(196.41:1);JENNINGS_WLS_GR/TankOil_2/TEMPERATURE(98.3:12);JENNINGS_WLS_GR/TankOil_2/VOLUME_OIL(196.30:7);JENNINGS_WLS_GR/TankOil_2/VOLUME_TOTAL(196.32:7);JENNINGS_WLS_GR/TankOil_2/VOLUME_WATER(196.31:7);JENNINGS_WLS_GR/TankOil_3/HAULED_CURRENT_DAY(196.43:2);JENNINGS_WLS_GR/TankOil_3/HAULED_PREVIOUS_DAY(196.45:2);JENNINGS_WLS_GR/TankOil_3/PRESSURE(85.126:116);JENNINGS_WLS_GR/TankOil_3/PRODUCTION_CURRENT_DAY(196.39:2);JENNINGS_WLS_GR/TankOil_3/PRODUCTION_PREVIOUS_DAY(196.41:2);JENNINGS_WLS_GR/TankOil_3/TEMPERATURE(98.3:13);JENNINGS_WLS_GR/TankOil_3/VOLUME_OIL(196.30:8);JENNINGS_WLS_GR/TankOil_3/VOLUME_TOTAL(196.32:8);JENNINGS_WLS_GR/TankOil_3/VOLUME_WATER(196.31:8)
81 jennings/wells/well_1;JENNINGS_W_WLS_GR_2H,50,7,Needs work,JENNINGS_W_WLS_GR_2H/MeterGas_1/BTU_FACTOR(0.0:0);JENNINGS_W_WLS_GR_2H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);JENNINGS_W_WLS_GR_2H/WellIO_1/PERCENTAGE_MANUAL_SETPOINT_B(104.14:121);JENNINGS_W_WLS_GR_2H/WellIO_1/SETPOINT_ALLOWED_PRESSURE_DECLINE(74.6:0);JENNINGS_W_WLS_GR_2H/WellIO_1/STATUS_ESD_B(102.24:177);JENNINGS_W_WLS_GR_2H/WellheadChoke/PERCENTAGE_MANUAL_SETPOINT_B(104.14:121);JENNINGS_W_WLS_GR_2H/WellheadChoke_1/PERCENTAGE_MANUAL_SETPOINT_B(104.14:121)
81 jennings/wells/well_2;JENNINGS_W_WLS_GR_4H,39,11,Needs work,JENNINGS_W_WLS_GR_4H/FuelGas_1/PRESSURE_B(85.220:42);JENNINGS_W_WLS_GR_4H/MeterGas_1/BTU_FACTOR(0.0:0);JENNINGS_W_WLS_GR_4H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);JENNINGS_W_WLS_GR_4H/WellIO_1/PERCENTAGE_CURRENT_B(103.21:75);JENNINGS_W_WLS_GR_4H/WellIO_1/PERCENTAGE_MANUAL_SETPOINT_B(104.14:123);JENNINGS_W_WLS_GR_4H/WellIO_1/SETPOINT_ALLOWED_PRESSURE_DECLINE(74.6:1);JENNINGS_W_WLS_GR_4H/WellIO_1/STATUS_ESD_B(102.24:185);JENNINGS_W_WLS_GR_4H/WellheadChoke/PERCENTAGE_CURRENT_B(103.21:75);JENNINGS_W_WLS_GR_4H/WellheadChoke/PERCENTAGE_MANUAL_SETPOINT_B(104.14:123);JENNINGS_W_WLS_GR_4H/WellheadChoke_1/PERCENTAGE_CURRENT_B(103.21:75);JENNINGS_W_WLS_GR_4H/WellheadChoke_1/PERCENTAGE_MANUAL_SETPOINT_B(104.14:123)
81 jennings/wells/well_3;JENNINGS_E_WLS_GR_6H,38,11,Needs work,JENNINGS_E_WLS_GR_6H/FuelGas_1/PRESSURE_A(85.79:44);JENNINGS_E_WLS_GR_6H/MeterGas_1/BTU_FACTOR(0.0:0);JENNINGS_E_WLS_GR_6H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);JENNINGS_E_WLS_GR_6H/WellIO_1/PERCENTAGE_CURRENT_B(103.21:83);JENNINGS_E_WLS_GR_6H/WellIO_1/PERCENTAGE_MANUAL_SETPOINT_B(104.14:129);JENNINGS_E_WLS_GR_6H/WellIO_1/SETPOINT_ALLOWED_PRESSURE_DECLINE(74.6:2);JENNINGS_E_WLS_GR_6H/WellIO_1/STATUS_ESD_B(102.24:193);JENNINGS_E_WLS_GR_6H/WellheadChoke/PERCENTAGE_CURRENT_B(103.21:83);JENNINGS_E_WLS_GR_6H/WellheadChoke/PERCENTAGE_MANUAL_SETPOINT_B(104.14:129);JENNINGS_E_WLS_GR_6H/WellheadChoke_1/PERCENTAGE_CURRENT_B(103.21:83);JENNINGS_E_WLS_GR_6H/WellheadChoke_1/PERCENTAGE_MANUAL_SETPOINT_B(104.14:129)
81 jennings/wells/well_4;JENNINGS_E_WLS_GR_8H,37,12,Needs work,JENNINGS_E_WLS_GR_8H/FuelGas_1/PRESSURE_A(85.79:45);JENNINGS_E_WLS_GR_8H/FuelGas_1/PRESSURE_B(85.220:44);JENNINGS_E_WLS_GR_8H/MeterGas_1/BTU_FACTOR(0.0:0);JENNINGS_E_WLS_GR_8H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);JENNINGS_E_WLS_GR_8H/WellIO_1/PERCENTAGE_CURRENT_B(103.21:91);JENNINGS_E_WLS_GR_8H/WellIO_1/PERCENTAGE_MANUAL_SETPOINT_B(104.14:131);JENNINGS_E_WLS_GR_8H/WellIO_1/SETPOINT_ALLOWED_PRESSURE_DECLINE(74.6:3);JENNINGS_E_WLS_GR_8H/WellIO_1/STATUS_ESD_B(102.24:201);JENNINGS_E_WLS_GR_8H/WellheadChoke/PERCENTAGE_CURRENT_B(103.21:91);JENNINGS_E_WLS_GR_8H/WellheadChoke/PERCENTAGE_MANUAL_SETPOINT_B(104.14:131);JENNINGS_E_WLS_GR_8H/WellheadChoke_1/PERCENTAGE_CURRENT_B(103.21:91);JENNINGS_E_WLS_GR_8H/WellheadChoke_1/PERCENTAGE_MANUAL_SETPOINT_B(104.14:131)
81 jones/pad;JONES_NTG_HR,89,78,Needs work,JONES_NTG_HR/MeterGas_2/BTU_FACTOR(112.22:6);JONES_NTG_HR/MeterGas_2/PRESSURE_DP(113.26:6);JONES_NTG_HR/MeterGas_2/PRESSURE_STATIC_CURRENT(113.28:6);JONES_NTG_HR/MeterGas_2/RATE_FLOW_DAILY(114.0:6);JONES_NTG_HR/MeterGas_2/SPECIFIC_GRAVITY(112.23:6);JONES_NTG_HR/MeterGas_2/TEMPERATURE_CURRENT(113.30:6);JONES_NTG_HR/MeterGas_2/VOLUME_CURRENT_DAY(114.19:6);JONES_NTG_HR/MeterGas_2/VOLUME_PREVIOUS_DAY(114.20:6);JONES_NTG_HR/MeterGas_3/BTU_FACTOR(112.22:7);JONES_NTG_HR/MeterGas_3/PRESSURE_DP(113.26:7);JONES_NTG_HR/MeterGas_3/PRESSURE_STATIC_CURRENT(113.28:7);JONES_NTG_HR/MeterGas_3/RATE_FLOW_DAILY(114.0:7);JONES_NTG_HR/MeterGas_3/SPECIFIC_GRAVITY(112.23:7);JONES_NTG_HR/MeterGas_3/TEMPERATURE_CURRENT(113.30:7);JONES_NTG_HR/MeterGas_3/VOLUME_CURRENT_DAY(114.19:7);JONES_NTG_HR/MeterGas_3/VOLUME_PREVIOUS_DAY(114.20:7);JONES_NTG_HR/MeterGas_4/BTU_FACTOR(112.22:8);JONES_NTG_HR/MeterGas_4/PRESSURE_DP(113.26:8);JONES_NTG_HR/MeterGas_4/PRESSURE_STATIC_CURRENT(113.28:8);JONES_NTG_HR/MeterGas_4/RATE_FLOW_DAILY(114.0:8);JONES_NTG_HR/MeterGas_4/SPECIFIC_GRAVITY(112.23:8);JONES_NTG_HR/MeterGas_4/TEMPERATURE_CURRENT(113.30:8);JONES_NTG_HR/MeterGas_4/VOLUME_CURRENT_DAY(114.19:8);JONES_NTG_HR/MeterGas_4/VOLUME_PREVIOUS_DAY(114.20:8);JONES_NTG_HR/TankOil_5/LEVEL_TOP(98.1:15);JONES_NTG_HR/TankOil_5/LEVEL_TOP_INCHES(98.1:15);JONES_NTG_HR/TankOil_5/PRESSURE(85.126:118);JONES_NTG_HR/TankOil_5/TEMPERATURE(98.3:15);JONES_NTG_HR/TankOil_5/VOLUME_OIL(196.30:10);JONES_NTG_HR/TankOil_5/VOLUME_TOTAL(196.32:10);JONES_NTG_HR/TankOil_5/VOLUME_WATER(196.31:10);JONES_NTG_HR/TankOil_6/LEVEL_INTERFACE(98.2:16);JONES_NTG_HR/TankOil_6/LEVEL_INTERFACE_INCHES(98.2:16);JONES_NTG_HR/TankOil_6/LEVEL_TOP(98.1:16);JONES_NTG_HR/TankOil_6/LEVEL_TOP_INCHES(98.1:16);JONES_NTG_HR/TankOil_6/PRESSURE(85.126:119);JONES_NTG_HR/TankOil_6/TEMPERATURE(98.3:16);JONES_NTG_HR/TankOil_6/VOLUME_OIL(196.30:11);JONES_NTG_HR/TankOil_6/VOLUME_TOTAL(196.32:11);JONES_NTG_HR/TankOil_6/VOLUME_WATER(196.31:11);JONES_NTG_HR/TankOil_total/HAULED_CURRENT_DAY(196.43:0);JONES_NTG_HR/TankOil_total/HAULED_PREVIOUS_DAY(196.45:0);JONES_NTG_HR/TankOil_total/LEVEL_TOP(98.1:11);JONES_NTG_HR/TankOil_total/LEVEL_TOP_INCHES(98.1:11);JONES_NTG_HR/TankOil_total/PRESSURE(85.126:114);JONES_NTG_HR/TankOil_total/PRODUCTION_CURRENT_DAY(196.39:0);JONES_NTG_HR/TankOil_total/PRODUCTION_PREVIOUS_DAY(196.41:0);JONES_NTG_HR/TankOil_total/TEMPERATURE(98.3:11);JONES_NTG_HR/TankOil_total/VOLUME_OIL(196.30:6);JONES_NTG_HR/TankOil_total/VOLUME_TOTAL(196.32:6);JONES_NTG_HR/TankOil_total/VOLUME_WATER(196.31:6);JONES_NTG_HR/Compressor_2/SETPOINT_INTEGRAL_RESET(110.16:4);JONES_NTG_HR/Compressor_2/SETPOINT_LOOP_PERIOD(110.2:4);JONES_NTG_HR/Compressor_2/SETPOINT_PRIMARY_VALUE(110.11:4);JONES_NTG_HR/Compressor_2/SETPOINT_PROPORTIONAL_GAIN(110.15:4);JONES_NTG_HR/Device_1/VOLTAGE_BATTERY(109.12:1);JONES_NTG_HR/Device_2/VOLTAGE_BATTERY(109.12:1);JONES_NTG_HR/Device_3/VOLTAGE_BATTERY(109.12:1);JONES_NTG_HR/Device_4/VOLTAGE_BATTERY(109.12:1);JONES_NTG_HR/Device_5/VOLTAGE_BATTERY(109.12:1);JONES_NTG_HR/TankNGL_1/HAULED_CURRENT_DAY(196.43:16);JONES_NTG_HR/TankNGL_1/HAULED_PREVIOUS_DAY(196.45:16);JONES_NTG_HR/TankNGL_1/LEVEL_INTERFACE(196.26:16);JONES_NTG_HR/TankNGL_1/LEVEL_INTERFACE_INCHES(196.82:16);JONES_NTG_HR/TankNGL_1/LEVEL_TOP(196.27:16);JONES_NTG_HR/TankNGL_1/LEVEL_TOP_INCHES(196.83:16);JONES_NTG_HR/TankNGL_1/PRODUCTION_CURRENT_DAY(196.39:16);JONES_NTG_HR/TankNGL_1/PRODUCTION_PREVIOUS_DAY(196.41:16);JONES_NTG_HR/TankNGL_1/VOLUME(196.30:16);JONES_NTG_HR/TankNGL_2/HAULED_CURRENT_DAY(196.43:17);JONES_NTG_HR/TankNGL_2/HAULED_PREVIOUS_DAY(196.45:17);JONES_NTG_HR/TankNGL_2/LEVEL_INTERFACE(196.26:17);JONES_NTG_HR/TankNGL_2/LEVEL_INTERFACE_INCHES(196.82:17);JONES_NTG_HR/TankNGL_2/LEVEL_TOP(196.27:17);JONES_NTG_HR/TankNGL_2/LEVEL_TOP_INCHES(196.83:17);JONES_NTG_HR/TankNGL_2/PRODUCTION_CURRENT_DAY(196.39:17);JONES_NTG_HR/TankNGL_2/PRODUCTION_PREVIOUS_DAY(196.41:17);JONES_NTG_HR/TankNGL_2/VOLUME(196.30:17)
81 jones/wells/well_1;JONES_N_NTG_HR_1H,46,4,Close,JONES_N_NTG_HR_1H/MeterGas_1/BTU_FACTOR(0.0:0);JONES_N_NTG_HR_1H/MeterGas_1/MASS_PREVIOUS_DAY(114.37:0);JONES_N_NTG_HR_1H/MeterGas_1/RATE_MASS_DAILY(114.34:0);JONES_N_NTG_HR_1H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0)
81 jones/wells/well_2;JONES_N_NTG_HR_3H,45,4,Close,JONES_N_NTG_HR_3H/MeterGas_1/BTU_FACTOR(0.0:0);JONES_N_NTG_HR_3H/MeterGas_1/MASS_PREVIOUS_DAY(114.37:1);JONES_N_NTG_HR_3H/MeterGas_1/RATE_MASS_DAILY(114.34:1);JONES_N_NTG_HR_3H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0)
81 jones/wells/well_3;JONES_N_NTG_HR_5H,41,8,Needs work,JONES_N_NTG_HR_5H/HeaterTreater_1/STATUS_LIMIT_HIGH(101.3:133);JONES_N_NTG_HR_5H/HeaterTreater_1/STATUS_LIMIT_LOW(101.3:134);JONES_N_NTG_HR_5H/HeaterTreater_1/STATUS_RUN(98.23:15);JONES_N_NTG_HR_5H/HeaterTreater_1/TEMPERATURE(103.21:66);JONES_N_NTG_HR_5H/MeterGas_1/BTU_FACTOR(0.0:0);JONES_N_NTG_HR_5H/MeterGas_1/MASS_PREVIOUS_DAY(114.37:3);JONES_N_NTG_HR_5H/MeterGas_1/RATE_MASS_DAILY(114.34:3);JONES_N_NTG_HR_5H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0)
81 jones/wells/well_4;JONES_N_NTG_HR_7H,38,11,Needs work,JONES_N_NTG_HR_7H/MeterGas_1/BTU_FACTOR(0.0:0);JONES_N_NTG_HR_7H/MeterGas_1/MASS_PREVIOUS_DAY(114.37:0);JONES_N_NTG_HR_7H/MeterGas_1/RATE_MASS_DAILY(114.34:0);JONES_N_NTG_HR_7H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);JONES_N_NTG_HR_7H/MeterOil_1/PRESSURE_DP_CURRENT(98.4:3);JONES_N_NTG_HR_7H/MeterOil_1/PRESSURE_STATIC_CURRENT(98.3:3);JONES_N_NTG_HR_7H/MeterOil_1/RATE_FLOW_DAILY(98.1:3);JONES_N_NTG_HR_7H/MeterOil_1/VOLUME_CURRENT_DAY(98.6:3);JONES_N_NTG_HR_7H/MeterOil_1/VOLUME_PREVIOUS_DAY(98.7:3);JONES_N_NTG_HR_7H/MeterWater_1/VOLUME_CURRENT_DAY(98.16:3);JONES_N_NTG_HR_7H/MeterWater_1/VOLUME_PREVIOUS_DAY(98.17:3)
81 jones/wells/well_5;JONES_N_NTG_HR_9H,38,11,Needs work,JONES_N_NTG_HR_9H/MeterGas_1/BTU_FACTOR(0.0:0);JONES_N_NTG_HR_9H/MeterGas_1/MASS_PREVIOUS_DAY(114.37:5);JONES_N_NTG_HR_9H/MeterGas_1/RATE_MASS_DAILY(114.34:5);JONES_N_NTG_HR_9H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);JONES_N_NTG_HR_9H/MeterOil_1/PRESSURE_DP_CURRENT(98.4:4);JONES_N_NTG_HR_9H/MeterOil_1/PRESSURE_STATIC_CURRENT(98.3:4);JONES_N_NTG_HR_9H/MeterOil_1/RATE_FLOW_DAILY(98.1:4);JONES_N_NTG_HR_9H/MeterOil_1/VOLUME_CURRENT_DAY(98.6:4);JONES_N_NTG_HR_9H/MeterOil_1/VOLUME_PREVIOUS_DAY(98.7:4);JONES_N_NTG_HR_9H/MeterWater_1/VOLUME_CURRENT_DAY(98.16:4);JONES_N_NTG_HR_9H/MeterWater_1/VOLUME_PREVIOUS_DAY(98.17:4)
81 kaldor/pad;KALDOR,67,32,Needs work,KALDOR/TankOil_2/HAULED_CURRENT_DAY(196.43:1);KALDOR/TankOil_2/HAULED_PREVIOUS_DAY(196.45:1);KALDOR/TankOil_2/LEVEL_INTERFACE(98.2:12);KALDOR/TankOil_2/LEVEL_INTERFACE_INCHES(98.2:12);KALDOR/TankOil_2/LEVEL_TOP(98.1:12);KALDOR/TankOil_2/LEVEL_TOP_INCHES(98.1:12);KALDOR/TankOil_2/PRESSURE(85.126:115);KALDOR/TankOil_2/PRODUCTION_CURRENT_DAY(196.39:1);KALDOR/TankOil_2/PRODUCTION_PREVIOUS_DAY(196.41:1);KALDOR/TankOil_2/TEMPERATURE(98.3:12);KALDOR/TankOil_2/VOLUME_OIL(196.30:7);KALDOR/TankOil_2/VOLUME_TOTAL(196.32:7);KALDOR/TankOil_2/VOLUME_WATER(196.31:7);KALDOR/TankWater_1/VOLUME_WATER(17.8:9);KALDOR_1H/MeterGas_1/BTU_FACTOR(0.0:0);KALDOR_1H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);KALDOR_2H/MeterGas_1/BTU_FACTOR(0.0:0);KALDOR_2H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);KALDOR_UNIT_B_8H/MeterGas_1/BTU_FACTOR(0.0:0);KALDOR_UNIT_B_8H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);KALDOR/Device_1/VOLTAGE_BATTERY(109.12:1);KALDOR_1H/TankWater_1/HAULED_CURRENT_DAY(196.44:0);KALDOR_1H/TankWater_1/HAULED_PREVIOUS_DAY(196.46:0);KALDOR_1H/TankWater_1/LEVEL_INTERFACE(196.26:0);KALDOR_1H/TankWater_1/LEVEL_INTERFACE_INCHES(196.82:0);KALDOR_1H/TankWater_1/LEVEL_TOP(196.27:0);KALDOR_1H/TankWater_1/LEVEL_TOP_INCHES(196.83:0);KALDOR_1H/TankWater_1/PRODUCTION_CURRENT_DAY(196.40:0);KALDOR_1H/TankWater_1/PRODUCTION_PREVIOUS_DAY(196.42:0);KALDOR_1H/TankWater_1/VOLUME_OIL(196.30:0);KALDOR_1H/TankWater_1/VOLUME_WATER(196.31:0);KALDOR_UNIT_B_8H/WellIO_1/STATUS_BURNER(1.2:35)
81 kaldor/wells/well_1;KALDOR_1H,20,12,Needs work,KALDOR_1H/MeterGas_1/BTU_FACTOR(0.0:0);KALDOR_1H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);KALDOR_1H/TankWater_1/HAULED_CURRENT_DAY(196.44:0);KALDOR_1H/TankWater_1/HAULED_PREVIOUS_DAY(196.46:0);KALDOR_1H/TankWater_1/LEVEL_INTERFACE(196.26:0);KALDOR_1H/TankWater_1/LEVEL_INTERFACE_INCHES(196.82:0);KALDOR_1H/TankWater_1/LEVEL_TOP(196.27:0);KALDOR_1H/TankWater_1/LEVEL_TOP_INCHES(196.83:0);KALDOR_1H/TankWater_1/PRODUCTION_CURRENT_DAY(196.40:0);KALDOR_1H/TankWater_1/PRODUCTION_PREVIOUS_DAY(196.42:0);KALDOR_1H/TankWater_1/VOLUME_OIL(196.30:0);KALDOR_1H/TankWater_1/VOLUME_WATER(196.31:0)
81 kaldor/wells/well_2;KALDOR_2H,20,2,Close,KALDOR_2H/MeterGas_1/BTU_FACTOR(0.0:0);KALDOR_2H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0)
81 kaldor/wells/well_3;KALDOR_UNIT_B_8H,19,3,Close,KALDOR_UNIT_B_8H/MeterGas_1/BTU_FACTOR(0.0:0);KALDOR_UNIT_B_8H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);KALDOR_UNIT_B_8H/WellIO_1/STATUS_BURNER(1.2:35)
81 kaseta/pad;KASETA,0,16,Failed!,KASETA_UNIT_1H/MeterGas_1/BTU_FACTOR(0.0:0);KASETA_UNIT_1H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);KASETA_UNIT_3H/MeterGas_1/BTU_FACTOR(0.0:0);KASETA_UNIT_3H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);KASETA_UNIT_7H/MeterGas_1/BTU_FACTOR(0.0:0);KASETA_UNIT_7H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);KASETA_UNIT_9H/MeterGas_1/BTU_FACTOR(0.0:0);KASETA_UNIT_9H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);KASETA_UNIT_B_2H/MeterGas_1/BTU_FACTOR(0.0:0);KASETA_UNIT_B_2H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);KASETA_UNIT_B_6H/MeterGas_1/BTU_FACTOR(0.0:0);KASETA_UNIT_B_6H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);KASETA_UNIT_B_8H/MeterGas_1/BTU_FACTOR(0.0:0);KASETA_UNIT_B_8H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);KASETA_UNIT_B_2H/MeterGas_2/BTU_FACTOR(0.0:0);KASETA_UNIT_B_2H/MeterGas_2/SPECIFIC_GRAVITY(0.0:0)
81 kaseta/wells/well_1;KASETA_UNIT_9H,0,2,Failed!,KASETA_UNIT_9H/MeterGas_1/BTU_FACTOR(0.0:0);KASETA_UNIT_9H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0)
81 kaseta/wells/well_2;KASETA_UNIT_7H,0,2,Failed!,KASETA_UNIT_7H/MeterGas_1/BTU_FACTOR(0.0:0);KASETA_UNIT_7H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0)
81 kaseta/wells/well_3;KASETA_UNIT_B_2H,0,4,Failed!,KASETA_UNIT_B_2H/MeterGas_1/BTU_FACTOR(0.0:0);KASETA_UNIT_B_2H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);KASETA_UNIT_B_2H/MeterGas_2/BTU_FACTOR(0.0:0);KASETA_UNIT_B_2H/MeterGas_2/SPECIFIC_GRAVITY(0.0:0)
81 kaseta/wells/well_4;KASETA_UNIT_1H,0,2,Failed!,KASETA_UNIT_1H/MeterGas_1/BTU_FACTOR(0.0:0);KASETA_UNIT_1H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0)
81 kaseta/wells/well_5;KASETA_UNIT_3H,0,2,Failed!,KASETA_UNIT_3H/MeterGas_1/BTU_FACTOR(0.0:0);KASETA_UNIT_3H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0)
81 kaseta/wells/well_6;KASETA_UNIT_B_6H,0,2,Failed!,KASETA_UNIT_B_6H/MeterGas_1/BTU_FACTOR(0.0:0);KASETA_UNIT_B_6H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0)
81 kaseta/wells/well_7;KASETA_UNIT_B_8H,0,2,Failed!,KASETA_UNIT_B_8H/MeterGas_1/BTU_FACTOR(0.0:0);KASETA_UNIT_B_8H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0)
81 kelpie/pad;KELPIE_WEL_JF,61,4,Close,KELPIE_WEL_JF/AirCompressor_1/SITE_PWR_STATUS(101.3:116);KELPIE_WEL_JF/Separator_1/PRESSURE(85.32:91);KELPIE_WEL_JF/MeterGas_1/BTU_FACTOR(112.22:0);KELPIE_WEL_JF/MeterGas_1/SPECIFIC_GRAVITY 1(112.23:0)
81 kelpie/wells/well_1;KELPIE_SE_WEL_JF_4H,38,31,Needs work,KELPIE_SE_WEL_JF_4H/MeterGas_1/BTU_FACTOR(0.0:0);KELPIE_SE_WEL_JF_4H/MeterGas_1/SPECIFIC_GRAVITY(0.0:0);KELPIE_SE_WEL_JF_4H/MeterGas_2/AVERAGE_PREVIOUS_DAY_PRESSURE_DP(132.6:1);KELPIE_SE_WEL_JF_4H/MeterGas_2/AVERAGE_PREVIOUS_DAY_PRESSURE_STATIC(132.6:9);KELPIE_SE_WEL_JF_4H/MeterGas_2/AVERAGE_PREVIOUS_DAY_TEMPERATURE(132.6:3);KELPIE_SE_WEL_JF_4H/MeterGas_2/BTU_FACTOR(0.0:0);KELPIE_SE_WEL_JF_4H/MeterGas_2/ENERGY_PREVIOUS_DAY(114.30:6);KELPIE_SE_WEL_JF_4H/MeterGas_2/MASS_PREVIOUS_DAY(114.25:6);KELPIE_SE_WEL_JF_4H/MeterGas_2/PRESSURE_DP_CURRENT(113.26:6);KELPIE_SE_WEL_JF_4H/MeterGas_2/PRESSURE_STATIC_CURRENT(113.28:6);KELPIE_SE_WEL_JF_4H/MeterGas_2/RATE_ENERGY_DAILY(114.1:6);KELPIE_SE_WEL_JF_4H/MeterGas_2/RATE_FLOW_DAILY(114.0:6);KELPIE_SE_WEL_JF_4H/MeterGas_2/RATE_MASS_DAILY(114.34:6);KELPIE_SE_WEL_JF_4H/MeterGas_2/SPECIFIC_GRAVITY(0.0:0);KELPIE_SE_WEL_JF_4H/MeterGas_2/TEMPERATURE_CURRENT(113.30:6);KELPIE_SE_WEL_JF_4H/MeterGas_2/TIME_FLOW_PREVIOUS_DAY(114.25:6);KELPIE_SE_WEL_JF_4H/MeterGas_2/VOLUME_ACCUMULATED(114.23:6);KELPIE_SE_WEL_JF_4H/MeterGas_2/VOLUME_CURRENT_DAY(114.19:6);KELPIE_SE_WEL_JF_4H/MeterGas_2/VOLUME_PREVIOUS_DAY(114.20:6);KELPIE_SE_WEL_JF_4H/WellIO_1/PERCENTAGE_CURRENT_B(103.21:67);KELPIE_SE_WEL_JF_4H/WellIO_1/PERCENTAGE_MANUAL_SETPOINT_B(104.12:121);KELPIE_SE_WEL_JF_4H/WellIO_1/PERCENTAGE_OUTPUT(74.21:0);KELPIE_SE_WEL_JF_4H/WellIO_1/SETPOINT_ALLOWED_PRESSURE_DECLINE(74.6:0);KELPIE_SE_WEL_JF_4H/WellIO_1/SETPOINT_FLOWRATE_CASING(74.19:4);KELPIE_SE_WEL_JF_4H/WellIO_1/STATUS_ESD_B(102.24:177);KELPIE_SE_WEL_JF_4H/WellheadChoke/PERCENTAGE_CURRENT_B(103.21:67);KELPIE_SE_WEL_JF_4H/WellheadChoke/PERCENTAGE_MANUAL_SETPOINT_B(104.12:121);KELPIE_SE_WEL_JF_4H/WellheadChoke/PERCENTAGE_OUTPUT(74.21:0);KELPIE_SE_WEL_JF_4H/WellheadChoke_1/PERCENTAGE_CURRENT_B(103.21:67);KELPIE_SE_WEL_JF_4H/WellheadChoke_1/PERCENTAGE_MANUAL_SETPOINT_B(104.12:121);KELPIE_SE_WEL_JF_4H/WellheadChoke_1/PERCENTAGE_OUTPUT(74.21:0)
